"z","Y","std"
0.5128,1,0.2049
0.079,1,0.2071
-0.9854,0,0.2513
-1.1188,0,0.2662
-0.6775,0,0.2293
0.2163,1,0.2052
-1.0993,0,0.3259
-0.2918,1,0.2407
-0.9771,0,0.2504
-0.9326,0,0.246
-0.3775,1,0.2212
-0.1171,1,0.2552
-0.3137,1,0.2185
0.7131,1,0.2084
-0.1657,1,0.2509
0.9351,1,0.2173
0.4354,1,0.2044
-0.1004,1,0.2567
-1.4219,0,0.3029
-1.1952,0,0.2753
-0.1331,1,0.2121
-0.0064,1,0.2088
-0.3686,0,0.2354
-0.0841,1,0.2108
-0.2829,0,0.2413
-0.1021,1,0.2113
-0.0936,1,0.2573
-0.4408,0,0.2316
-1.0379,0,0.257
-0.1187,1,0.2117
-0.5497,0,0.2283
0.2083,1,0.2052
-0.4853,0,0.2298
0.3629,1,0.2043
-1.136,0,0.2682
-0.1839,1,0.2494
0.0333,1,0.208
-0.3881,0,0.2343
0.0692,1,0.2073
0.2222,1,0.2051
0.1443,1,0.206
-0.2145,1,0.2468
-0.1889,1,0.2489
-0.3648,0,0.2357
-0.1468,1,0.2526
-0.0467,1,0.2098
-0.4466,0,0.2313
-0.6066,0,0.2281
-0.344,0,0.237
-2.0927,0,0.3439
-0.3842,0,0.2215
-0.0974,1,0.2111
0.9036,1,0.2157
-0.387,1,0.2216
-1.2268,0,0.2791
0.2258,1,0.2051
-1.0132,0,0.2542
-0.1902,1,0.2139
-0.1438,1,0.2125
-2.1754,0,0.348
-1.6449,0,0.3305
-0.2702,0,0.2168
-0.2048,0,0.2476
0.7337,1,0.209
0.1944,1,0.2054
-0.6778,0,0.2293
0.5431,1,0.2052
0.3606,1,0.2043
-0.4967,0,0.2295
-0.3099,1,0.2183
0.1286,1,0.2063
-0.6297,1,0.2283
-1.3608,0,0.2955
-0.2114,1,0.2471
-2.5301,0,0.3748
-0.5152,0,0.229
-1.145,0,0.2693
-0.9276,0,0.2455
-0.1122,1,0.2557
0.1553,1,0.2059
-0.9036,1,0.2433
0.352,1,0.2043
-0.2453,1,0.2443
-0.1169,1,0.2552
-0.2545,1,0.2435
-0.9953,0,0.2523
0.0428,1,0.2078
-0.2455,0,0.2443
-0.7504,0,0.2322
-0.4528,0,0.2311
-1.1138,0,0.2656
0.0807,1,0.2071
-1.1483,0,0.2697
0.7404,1,0.2092
0.6433,1,0.2068
0.365,1,0.2043
-0.2811,0,0.2415
-1.1795,0,0.2734
0.0636,1,0.2074
-0.2083,1,0.2145
-0.6973,1,0.2299
-0.216,1,0.2148
0.151,1,0.2059
0.7915,1,0.2109
-0.2368,1,0.2155
0.3826,1,0.2043
-0.9755,0,0.2503
-0.9697,0,0.2497
-0.1845,1,0.2137
-0.8203,0,0.2365
-0.2939,0,0.2405
-0.9326,0,0.246
-0.5661,1,0.2282
0.245,1,0.2049
0.0719,1,0.2072
-1.6546,0,0.3306
-0.6317,0,0.2283
-0.1072,1,0.2114
-0.625,0,0.2283
-1.0034,0,0.2532
0.1612,1,0.2058
